Date,case_rate,cases,death_rate,deaths,location
04/15/2020,100.56,21,,,CITY OF AGOURA HILLS
04/15/2020,42.66,37,,,CITY OF ALHAMBRA
04/15/2020,43.29,25,,,CITY OF ARCADIA
04/15/2020,29.77,5,,,CITY OF ARTESIA
04/15/2020,0,0,,,CITY OF AVALON
04/15/2020,43.96,22,,,CITY OF AZUSA
04/15/2020,44.29,34,,,CITY OF BALDWIN PARK
04/15/2020,176.15,64,,,CITY OF BELL
04/15/2020,90.55,39,,,CITY OF BELL GARDENS
04/15/2020,70.75,55,,,CITY OF BELLFLOWER
04/15/2020,225.96,78,,,CITY OF BEVERLY HILLS
04/15/2020,--,--,,,CITY OF BRADBURY
04/15/2020,104.5,112,,,CITY OF BURBANK
04/15/2020,106.89,26,,,CITY OF CALABASAS
04/15/2020,141.72,133,,,CITY OF CARSON
04/15/2020,67.91,34,,,CITY OF CERRITOS
04/15/2020,35.63,13,,,CITY OF CLAREMONT
04/15/2020,--,--,,,CITY OF COMMERCE
04/15/2020,72.07,72,,,CITY OF COMPTON
04/15/2020,110.13,54,,,CITY OF COVINA
04/15/2020,98.57,24,,,CITY OF CUDAHY
04/15/2020,85.29,34,,,CITY OF CULVER CITY
04/15/2020,38.25,22,,,CITY OF DIAMOND BAR
04/15/2020,97.14,111,,,CITY OF DOWNEY
04/15/2020,68.13,15,,,CITY OF DUARTE
04/15/2020,28.99,34,,,CITY OF EL MONTE
04/15/2020,71.49,12,,,CITY OF EL SEGUNDO
04/15/2020,133.75,82,,,CITY OF GARDENA
04/15/2020,134.63,278,,,CITY OF GLENDALE
04/15/2020,49.28,26,,,CITY OF GLENDORA
04/15/2020,--,--,,,CITY OF HAWAIIAN GARDENS
04/15/2020,97.99,87,,,CITY OF HAWTHORNE
04/15/2020,86.43,17,,,CITY OF HERMOSA BEACH
04/15/2020,0,0,,,CITY OF HIDDEN HILLS
04/15/2020,73.97,44,,,CITY OF HUNTINGTON PARK
04/15/2020,--,--,,,CITY OF INDUSTRY
04/15/2020,116.22,132,,,CITY OF INGLEWOOD
04/15/2020,0,0,,,CITY OF IRWINDALE
04/15/2020,111.15,23,,,CITY OF LA CANADA FLINTRIDGE
04/15/2020,--,--,,,CITY OF LA HABRA HEIGHTS
04/15/2020,50.4,25,,,CITY OF LA MIRADA
04/15/2020,54.06,22,,,CITY OF LA PUENTE
04/15/2020,27.04,9,,,CITY OF LA VERNE
04/15/2020,53.51,43,,,CITY OF LAKEWOOD
04/15/2020,56.32,91,,,CITY OF LANCASTER
04/15/2020,92.22,31,,,CITY OF LAWNDALE
04/15/2020,110.96,23,,,CITY OF LOMITA
04/15/2020,116.59,84,,,CITY OF LYNWOOD
04/15/2020,138.88,18,,,CITY OF MALIBU
04/15/2020,152.78,55,,,CITY OF MANHATTAN BEACH
04/15/2020,99.83,28,,,CITY OF MAYWOOD
04/15/2020,36.08,14,,,CITY OF MONROVIA
04/15/2020,99.42,64,,,CITY OF MONTEBELLO
04/15/2020,54.61,34,,,CITY OF MONTEREY PARK
04/15/2020,81.77,88,,,CITY OF NORWALK
04/15/2020,74.23,118,,,CITY OF PALMDALE
04/15/2020,266.23,36,,,CITY OF PALOS VERDES ESTATES
04/15/2020,78.54,44,,,CITY OF PARAMOUNT
04/15/2020,104.23,67,,,CITY OF PICO RIVERA
04/15/2020,37.2,58,,,CITY OF POMONA
04/15/2020,107.61,46,,,CITY OF RANCHO PALOS VERDES
04/15/2020,122.28,84,,,CITY OF REDONDO BEACH
04/15/2020,--,--,,,CITY OF ROLLING HILLS
04/15/2020,135.58,11,,,CITY OF ROLLING HILLS ESTATES
04/15/2020,28.91,16,,,CITY OF ROSEMEAD
04/15/2020,52.15,18,,,CITY OF SAN DIMAS
04/15/2020,109.7,27,,,CITY OF SAN FERNANDO
04/15/2020,34.18,14,,,CITY OF SAN GABRIEL
04/15/2020,60.25,8,,,CITY OF SAN MARINO
04/15/2020,75.31,166,,,CITY OF SANTA CLARITA
04/15/2020,49.01,9,,,CITY OF SANTA FE SPRINGS
04/15/2020,106.01,98,,,CITY OF SANTA MONICA
04/15/2020,--,--,,,CITY OF SIERRA MADRE
04/15/2020,42.38,5,,,CITY OF SIGNAL HILL
04/15/2020,--,--,,,CITY OF SOUTH EL MONTE
04/15/2020,110.03,108,,,CITY OF SOUTH GATE
04/15/2020,65.25,17,,,CITY OF SOUTH PASADENA
04/15/2020,46.63,17,,,CITY OF TEMPLE CITY
04/15/2020,106.52,159,,,CITY OF TORRANCE
04/15/2020,0,0,,,CITY OF VERNON
04/15/2020,42.58,13,,,CITY OF WALNUT
04/15/2020,44.35,48,,,CITY OF WEST COVINA
04/15/2020,284.16,105,,,CITY OF WEST HOLLYWOOD
04/15/2020,71.77,6,,,CITY OF WESTLAKE VILLAGE
04/15/2020,64.05,56,,,CITY OF WHITTIER
04/15/2020,116.38,4707,,,LOS ANGELES
04/15/2020,195.07,16,,,LOS ANGELES - ADAMS-NORMANDIE
04/15/2020,56.25,7,,,LOS ANGELES - ALSACE
04/15/2020,--,--,,,LOS ANGELES - ANGELINO HEIGHTS
04/15/2020,98.92,34,,,LOS ANGELES - ARLETA
04/15/2020,61.37,9,,,LOS ANGELES - ATWATER VILLAGE
04/15/2020,109.24,34,,,LOS ANGELES - BALDWIN HILLS
04/15/2020,249.14,21,,,LOS ANGELES - BEL AIR
04/15/2020,207.58,26,,,LOS ANGELES - BEVERLY CREST
04/15/2020,167.01,22,,,LOS ANGELES - BEVERLYWOOD
04/15/2020,73.66,64,,,LOS ANGELES - BOYLE HEIGHTS
04/15/2020,184.14,57,,,LOS ANGELES - BRENTWOOD
04/15/2020,0,0,,,LOS ANGELES - BROOKSIDE
04/15/2020,98.3,7,,,LOS ANGELES - CADILLAC-CORNING
04/15/2020,142.44,93,,,LOS ANGELES - CANOGA PARK
04/15/2020,229.76,33,,,LOS ANGELES - CARTHAY
04/15/2020,130.8,51,,,LOS ANGELES - CENTRAL
04/15/2020,211.07,27,,,LOS ANGELES - CENTURY CITY
04/15/2020,94.77,32,,,LOS ANGELES - CENTURY PALMS/COVE
04/15/2020,102.53,38,,,LOS ANGELES - CHATSWORTH
04/15/2020,130.85,12,,,LOS ANGELES - CHEVIOT HILLS
04/15/2020,--,--,,,LOS ANGELES - CHINATOWN
04/15/2020,89.33,13,,,LOS ANGELES - CLOVERDALE/COCHRAN
04/15/2020,184.78,28,,,LOS ANGELES - COUNTRY CLUB PARK
04/15/2020,159.09,22,,,LOS ANGELES - CRENSHAW DISTRICT
04/15/2020,378.25,43,,,LOS ANGELES - CRESTVIEW
04/15/2020,120.26,36,,,LOS ANGELES - DEL REY
04/15/2020,98.16,27,,,LOS ANGELES - DOWNTOWN
04/15/2020,116.19,46,,,LOS ANGELES - EAGLE ROCK
04/15/2020,184.38,54,,,LOS ANGELES - EAST HOLLYWOOD
04/15/2020,63.13,9,,,LOS ANGELES - ECHO PARK
04/15/2020,105.24,44,,,LOS ANGELES - EL SERENO
04/15/2020,87.54,5,,,LOS ANGELES - ELYSIAN PARK
04/15/2020,98.32,10,,,LOS ANGELES - ELYSIAN VALLEY
04/15/2020,123.97,56,,,LOS ANGELES - ENCINO
04/15/2020,--,--,,,LOS ANGELES - EXPOSITION
04/15/2020,124.67,56,,,LOS ANGELES - EXPOSITION PARK
04/15/2020,--,--,,,LOS ANGELES - FAIRCREST HEIGHTS
04/15/2020,114.67,10,,,LOS ANGELES - FIGUEROA PARK SQUARE
04/15/2020,109.6,52,,,LOS ANGELES - FLORENCE-FIRESTONE
04/15/2020,208.83,66,,,LOS ANGELES - GLASSELL PARK
04/15/2020,111.48,12,,,LOS ANGELES - GRAMERCY PLACE
04/15/2020,91.08,53,,,LOS ANGELES - GRANADA HILLS
04/15/2020,83.7,18,,,LOS ANGELES - GREEN MEADOWS
04/15/2020,287.58,49,,,LOS ANGELES - HANCOCK PARK
04/15/2020,86,25,,,LOS ANGELES - HARBOR CITY
04/15/2020,77.98,34,,,LOS ANGELES - HARBOR GATEWAY
04/15/2020,0,0,,,LOS ANGELES - HARBOR PINES
04/15/2020,133.07,24,,,LOS ANGELES - HARVARD HEIGHTS
04/15/2020,81.72,31,,,LOS ANGELES - HARVARD PARK
04/15/2020,82.66,40,,,LOS ANGELES - HIGHLAND PARK
04/15/2020,173.04,24,,,LOS ANGELES - HISTORIC FILIPINOTOWN
04/15/2020,181.67,124,,,LOS ANGELES - HOLLYWOOD
04/15/2020,156.28,46,,,LOS ANGELES - HOLLYWOOD HILLS
04/15/2020,77.08,22,,,LOS ANGELES - HYDE PARK
04/15/2020,--,--,,,LOS ANGELES - JEFFERSON PARK
04/15/2020,112.2,58,,,LOS ANGELES - KOREATOWN
04/15/2020,153.54,7,,,LOS ANGELES - LAFAYETTE SQUARE
04/15/2020,94.77,40,,,LOS ANGELES - LAKE BALBOA
04/15/2020,144.67,19,,,LOS ANGELES - LAKEVIEW TERRACE
04/15/2020,164.1,25,,,LOS ANGELES - LEIMERT PARK
04/15/2020,61.36,20,,,LOS ANGELES - LINCOLN HEIGHTS
04/15/2020,585.67,47,,,LOS ANGELES - LITTLE ARMENIA
04/15/2020,134.07,38,,,LOS ANGELES - LITTLE BANGLADESH
04/15/2020,--,--,,,LOS ANGELES - LITTLE TOKYO
04/15/2020,--,--,,,LOS ANGELES - LONGWOOD
04/15/2020,97.19,21,,,LOS ANGELES - LOS FELIZ
04/15/2020,--,--,,,LOS ANGELES - MANCHESTER SQUARE
04/15/2020,--,--,,,LOS ANGELES - MANDEVILLE CANYON
04/15/2020,87.12,37,,,LOS ANGELES - MAR VISTA
04/15/2020,183.49,8,,,LOS ANGELES - MARINA PENINSULA
04/15/2020,276.72,215,,,LOS ANGELES - MELROSE
04/15/2020,159.68,24,,,LOS ANGELES - MID-CITY
04/15/2020,116.76,21,,,LOS ANGELES - MIRACLE MILE
04/15/2020,107.78,26,,,LOS ANGELES - MISSION HILLS
04/15/2020,66.27,16,,,LOS ANGELES - MT. WASHINGTON
04/15/2020,87.7,54,,,LOS ANGELES - NORTH HILLS
04/15/2020,95.76,145,,,LOS ANGELES - NORTH HOLLYWOOD
04/15/2020,80.23,56,,,LOS ANGELES - NORTHRIDGE
04/15/2020,150.3,32,,,LOS ANGELES - PACIFIC PALISADES
04/15/2020,81.84,63,,,LOS ANGELES - PACOIMA
04/15/2020,--,--,,,LOS ANGELES - PALISADES HIGHLANDS
04/15/2020,157.26,69,,,LOS ANGELES - PALMS
04/15/2020,101,76,,,LOS ANGELES - PANORAMA CITY
04/15/2020,66.27,9,,,LOS ANGELES - PARK LA BREA
04/15/2020,148.18,62,,,LOS ANGELES - PICO-UNION
04/15/2020,--,--,,,LOS ANGELES - PLAYA DEL REY
04/15/2020,91.35,10,,,LOS ANGELES - PLAYA VISTA
04/15/2020,87.11,31,,,LOS ANGELES - PORTER RANCH
04/15/2020,121.95,8,,,LOS ANGELES - RANCHO PARK
04/15/2020,--,--,,,LOS ANGELES - REGENT SQUARE
04/15/2020,109.64,84,,,LOS ANGELES - RESEDA
04/15/2020,194.13,9,,,LOS ANGELES - RESEDA RANCH
04/15/2020,118.26,5,,,LOS ANGELES - REYNIER VILLAGE
04/15/2020,70.48,55,,,LOS ANGELES - SAN PEDRO
04/15/2020,157.59,7,,,LOS ANGELES - SHADOW HILLS
04/15/2020,97.42,85,,,LOS ANGELES - SHERMAN OAKS
04/15/2020,190.55,84,,,LOS ANGELES - SILVERLAKE
04/15/2020,188.77,20,,,LOS ANGELES - SOUTH CARTHAY
04/15/2020,123.81,47,,,LOS ANGELES - SOUTH PARK
04/15/2020,--,--,,,LOS ANGELES - ST ELMO VILLAGE
04/15/2020,98.04,22,,,LOS ANGELES - STUDIO CITY
04/15/2020,87.65,46,,,LOS ANGELES - SUN VALLEY
04/15/2020,176.4,36,,,LOS ANGELES - SUNLAND
04/15/2020,0,0,,,LOS ANGELES - SYCAMORE SQUARE
04/15/2020,146.85,121,,,LOS ANGELES - SYLMAR
04/15/2020,152.22,47,,,LOS ANGELES - TARZANA
04/15/2020,144.37,57,,,LOS ANGELES - TEMPLE-BEAUDRY
04/15/2020,91.75,9,,,LOS ANGELES - THAI TOWN
04/15/2020,80.42,7,,,LOS ANGELES - TOLUCA LAKE
04/15/2020,0,0,,,LOS ANGELES - TOLUCA TERRACE
04/15/2020,--,--,,,LOS ANGELES - TOLUCA WOODS
04/15/2020,75.51,21,,,LOS ANGELES - TUJUNGA
04/15/2020,0,0,,,LOS ANGELES - UNIVERSITY HILLS
04/15/2020,101.98,28,,,LOS ANGELES - UNIVERSITY PARK
04/15/2020,119.94,36,,,LOS ANGELES - VALLEY GLEN
04/15/2020,161.81,40,,,LOS ANGELES - VALLEY VILLAGE
04/15/2020,103.01,96,,,LOS ANGELES - VAN NUYS
04/15/2020,94.44,32,,,LOS ANGELES - VENICE
04/15/2020,116.28,20,,,LOS ANGELES - VERMONT KNOLLS
04/15/2020,235.08,18,,,LOS ANGELES - VERMONT SQUARE
04/15/2020,75.27,31,,,LOS ANGELES - VERMONT VISTA
04/15/2020,86.54,45,,,LOS ANGELES - VERNON CENTRAL
04/15/2020,214.31,18,,,LOS ANGELES - VICTORIA PARK
04/15/2020,135.35,5,,,LOS ANGELES - VIEW HEIGHTS
04/15/2020,70.3,30,,,LOS ANGELES - WATTS
04/15/2020,--,--,,,LOS ANGELES - WELLINGTON SQUARE
04/15/2020,184.58,51,,,LOS ANGELES - WEST ADAMS
04/15/2020,59.19,24,,,LOS ANGELES - WEST HILLS
04/15/2020,98.31,37,,,LOS ANGELES - WEST LOS ANGELES
04/15/2020,147.27,79,,,LOS ANGELES - WEST VERNON
04/15/2020,75.58,39,,,LOS ANGELES - WESTCHESTER
04/15/2020,141.52,84,,,LOS ANGELES - WESTLAKE
04/15/2020,66.53,36,,,LOS ANGELES - WESTWOOD
04/15/2020,66.43,24,,,LOS ANGELES - WHOLESALE DISTRICT
04/15/2020,70.81,40,,,LOS ANGELES - WILMINGTON
04/15/2020,107.63,54,,,LOS ANGELES - WILSHIRE CENTER
04/15/2020,106.21,55,,,LOS ANGELES - WINNETKA
04/15/2020,113.14,77,,,LOS ANGELES - WOODLAND HILLS
04/15/2020,--,--,,,UNINCORPORATED - ACTON
04/15/2020,--,--,,,UNINCORPORATED - AGUA DULCE
04/15/2020,89.41,39,,,UNINCORPORATED - ALTADENA
04/15/2020,0,0,,,UNINCORPORATED - ANAVERDE
04/15/2020,0,0,,,UNINCORPORATED - ANGELES NATIONAL FOREST
04/15/2020,--,--,,,UNINCORPORATED - ARCADIA
04/15/2020,89.53,38,,,UNINCORPORATED - ATHENS-WESTMONT
04/15/2020,142.94,7,,,UNINCORPORATED - ATHENS VILLAGE
04/15/2020,--,--,,,UNINCORPORATED - AVOCADO HEIGHTS
04/15/2020,--,--,,,UNINCORPORATED - AZUSA
04/15/2020,60.74,9,,,UNINCORPORATED - BASSETT
04/15/2020,--,--,,,UNINCORPORATED - BOUQUET CANYON
04/15/2020,0,0,,,UNINCORPORATED - BRADBURY
04/15/2020,181.16,14,,,UNINCORPORATED - CANYON COUNTRY
04/15/2020,33.1,9,,,UNINCORPORATED - CASTAIC
04/15/2020,0,0,,,UNINCORPORATED - CERRITOS
04/15/2020,0,0,,,UNINCORPORATED - CLAREMONT
04/15/2020,77.29,13,,,UNINCORPORATED - COVINA
04/15/2020,68.47,9,,,UNINCORPORATED - COVINA (CHARTER OAK)
04/15/2020,113.82,5,,,UNINCORPORATED - DEL AIRE
04/15/2020,0,0,,,UNINCORPORATED - DEL REY
04/15/2020,0,0,,,UNINCORPORATED - DEL SUR
04/15/2020,--,--,,,UNINCORPORATED - DESERT VIEW HIGHLANDS
04/15/2020,0,0,,,UNINCORPORATED - DUARTE
04/15/2020,0,0,,,UNINCORPORATED - EAST COVINA
04/15/2020,--,--,,,UNINCORPORATED - EAST LA MIRADA
04/15/2020,0,0,,,UNINCORPORATED - EAST LANCASTER
04/15/2020,86.21,108,,,UNINCORPORATED - EAST LOS ANGELES
04/15/2020,0,0,,,UNINCORPORATED - EAST PASADENA
04/15/2020,78.39,12,,,UNINCORPORATED - EAST RANCHO DOMINGUEZ
04/15/2020,--,--,,,UNINCORPORATED - EAST WHITTIER
04/15/2020,--,--,,,UNINCORPORATED - EL CAMINO VILLAGE
04/15/2020,0,0,,,UNINCORPORATED - EL MONTE
04/15/2020,0,0,,,UNINCORPORATED - ELIZABETH LAKE
04/15/2020,105.09,68,,,UNINCORPORATED - FLORENCE-FIRESTONE
04/15/2020,0,0,,,UNINCORPORATED - GLENDORA
04/15/2020,60.79,34,,,UNINCORPORATED - HACIENDA HEIGHTS
04/15/2020,--,--,,,UNINCORPORATED - HAWTHORNE
04/15/2020,0,0,,,UNINCORPORATED - HI VISTA
04/15/2020,--,--,,,UNINCORPORATED - KAGEL/LOPEZ CANYONS
04/15/2020,55.55,11,,,UNINCORPORATED - LA CRESCENTA-MONTROSE
04/15/2020,0,0,,,UNINCORPORATED - LA HABRA HEIGHTS
04/15/2020,240.96,5,,,UNINCORPORATED - LA RAMBLA
04/15/2020,--,--,,,UNINCORPORATED - LA VERNE
04/15/2020,197.99,14,,,UNINCORPORATED - LADERA HEIGHTS
04/15/2020,0,0,,,UNINCORPORATED - LAKE HUGHES
04/15/2020,53.87,7,,,UNINCORPORATED - LAKE LOS ANGELES
04/15/2020,--,--,,,UNINCORPORATED - LAKE MANOR
04/15/2020,0,0,,,UNINCORPORATED - LAKEWOOD
04/15/2020,84.29,19,,,UNINCORPORATED - LENNOX
04/15/2020,0,0,,,UNINCORPORATED - LEONA VALLEY
04/15/2020,0,0,,,UNINCORPORATED - LITTLEROCK
04/15/2020,--,--,,,UNINCORPORATED - LITTLEROCK/JUNIPER HILLS
04/15/2020,--,--,,,UNINCORPORATED - LITTLEROCK/PEARBLOSSOM
04/15/2020,0,0,,,UNINCORPORATED - LLANO
04/15/2020,63.76,6,,,UNINCORPORATED - MARINA DEL REY
04/15/2020,128.83,5,,,UNINCORPORATED - MONROVIA
04/15/2020,0,0,,,UNINCORPORATED - NEWHALL
04/15/2020,0,0,,,UNINCORPORATED - NORTH LANCASTER
04/15/2020,--,--,,,UNINCORPORATED - NORTH WHITTIER
04/15/2020,29.12,7,,,UNINCORPORATED - NORTHEAST SAN GABRIEL
04/15/2020,0,0,,,UNINCORPORATED - PALMDALE
04/15/2020,0,0,,,UNINCORPORATED - PALOS VERDES PENINSULA
04/15/2020,0,0,,,UNINCORPORATED - PEARBLOSSOM/LLANO
04/15/2020,0,0,,,UNINCORPORATED - PELLISSIER VILLAGE
04/15/2020,0,0,,,UNINCORPORATED - PLACERITA CANYON
04/15/2020,0,0,,,UNINCORPORATED - POMONA
04/15/2020,100.73,13,,,UNINCORPORATED - QUARTZ HILL
04/15/2020,225.48,6,,,UNINCORPORATED - RANCHO DOMINGUEZ
04/15/2020,0,0,,,UNINCORPORATED - ROOSEVELT
04/15/2020,--,--,,,UNINCORPORATED - ROSEWOOD
04/15/2020,0,0,,,UNINCORPORATED - ROSEWOOD/EAST GARDENA
04/15/2020,--,--,,,UNINCORPORATED - ROSEWOOD/WEST RANCHO DOMINGUEZ
04/15/2020,37.24,19,,,UNINCORPORATED - ROWLAND HEIGHTS
04/15/2020,0,0,,,UNINCORPORATED - SAN FRANCISQUITO CANYON/BOUQUET CANYON
04/15/2020,29.67,6,,,UNINCORPORATED - SAN JOSE HILLS
04/15/2020,0,0,,,UNINCORPORATED - SAN PASQUAL
04/15/2020,0,0,,,UNINCORPORATED - SAND CANYON
04/15/2020,--,--,,,UNINCORPORATED - SANTA CATALINA ISLAND
04/15/2020,37.59,7,,,UNINCORPORATED - SANTA MONICA MOUNTAINS
04/15/2020,--,--,,,UNINCORPORATED - SAUGUS
04/15/2020,0,0,,,UNINCORPORATED - SAUGUS/CANYON COUNTRY
04/15/2020,0,0,,,UNINCORPORATED - SOUTH ANTELOPE VALLEY
04/15/2020,--,--,,,UNINCORPORATED - SOUTH EL MONTE
04/15/2020,79.11,7,,,UNINCORPORATED - SOUTH SAN GABRIEL
04/15/2020,50.66,30,,,UNINCORPORATED - SOUTH WHITTIER
04/15/2020,0,0,,,UNINCORPORATED - SOUTHEAST ANTELOPE VALLEY
04/15/2020,52.47,11,,,UNINCORPORATED - STEVENSON RANCH
04/15/2020,--,--,,,UNINCORPORATED - SUN VILLAGE
04/15/2020,--,--,,,UNINCORPORATED - SUNRISE VILLAGE
04/15/2020,--,--,,,UNINCORPORATED - TWIN LAKES/OAT MOUNTAIN
04/15/2020,0,0,,,UNINCORPORATED - VAL VERDE
04/15/2020,--,--,,,UNINCORPORATED - VALENCIA
04/15/2020,42.79,10,,,UNINCORPORATED - VALINDA
04/15/2020,137.52,16,,,UNINCORPORATED - VIEW PARK/WINDSOR HILLS
04/15/2020,136.28,22,,,UNINCORPORATED - WALNUT PARK
04/15/2020,--,--,,,UNINCORPORATED - WEST ANTELOPE VALLEY
04/15/2020,140.36,31,,,UNINCORPORATED - WEST CARSON
04/15/2020,--,--,,,UNINCORPORATED - WEST LA
04/15/2020,61.01,6,,,UNINCORPORATED - WEST PUENTE VALLEY
04/15/2020,--,--,,,UNINCORPORATED - WEST RANCHO DOMINGUEZ
04/15/2020,63.14,17,,,UNINCORPORATED - WEST WHITTIER/LOS NIETOS
04/15/2020,0,0,,,UNINCORPORATED - WESTFIELD/ACADEMY HILLS
04/15/2020,0,0,,,UNINCORPORATED - WESTHILLS
04/15/2020,--,--,,,UNINCORPORATED - WHITE FENCE FARMS
04/15/2020,--,--,,,UNINCORPORATED - WHITTIER
04/15/2020,74.47,26,,,UNINCORPORATED - WILLOWBROOK
04/15/2020,--,--,,,UNINCORPORATED - WISEBURN
04/16/2020,105.35,22,,,CITY OF AGOURA HILLS
04/16/2020,43.82,38,,,CITY OF ALHAMBRA
04/16/2020,45.02,26,,,CITY OF ARCADIA
04/16/2020,41.68,7,,,CITY OF ARTESIA
04/16/2020,0,0,,,CITY OF AVALON
04/16/2020,43.96,22,,,CITY OF AZUSA
04/16/2020,45.59,35,,,CITY OF BALDWIN PARK
04/16/2020,195.42,71,,,CITY OF BELL
04/16/2020,95.19,41,,,CITY OF BELL GARDENS
04/16/2020,73.33,57,,,CITY OF BELLFLOWER
04/16/2020,225.96,78,,,CITY OF BEVERLY HILLS
04/16/2020,--,--,,,CITY OF BRADBURY
04/16/2020,109.16,117,,,CITY OF BURBANK
04/16/2020,106.89,26,,,CITY OF CALABASAS
04/16/2020,143.85,135,,,CITY OF CARSON
04/16/2020,67.91,34,,,CITY OF CERRITOS
04/16/2020,35.63,13,,,CITY OF CLAREMONT
04/16/2020,38.26,5,,,CITY OF COMMERCE
04/16/2020,79.08,79,,,CITY OF COMPTON
04/16/2020,112.17,55,,,CITY OF COVINA
04/16/2020,102.68,25,,,CITY OF CUDAHY
04/16/2020,90.3,36,,,CITY OF CULVER CITY
04/16/2020,36.51,21,,,CITY OF DIAMOND BAR
04/16/2020,99.77,114,,,CITY OF DOWNEY
04/16/2020,77.22,17,,,CITY OF DUARTE
04/16/2020,32.4,38,,,CITY OF EL MONTE
04/16/2020,71.49,12,,,CITY OF EL SEGUNDO
04/16/2020,140.27,86,,,CITY OF GARDENA
04/16/2020,139.47,288,,,CITY OF GLENDALE
04/16/2020,51.17,27,,,CITY OF GLENDORA
04/16/2020,--,--,,,CITY OF HAWAIIAN GARDENS
04/16/2020,101.37,90,,,CITY OF HAWTHORNE
04/16/2020,86.43,17,,,CITY OF HERMOSA BEACH
04/16/2020,0,0,,,CITY OF HIDDEN HILLS
04/16/2020,77.33,46,,,CITY OF HUNTINGTON PARK
04/16/2020,--,--,,,CITY OF INDUSTRY
04/16/2020,120.62,137,,,CITY OF INGLEWOOD
04/16/2020,0,0,,,CITY OF IRWINDALE
04/16/2020,115.98,24,,,CITY OF LA CANADA FLINTRIDGE
04/16/2020,--,--,,,CITY OF LA HABRA HEIGHTS
04/16/2020,50.4,25,,,CITY OF LA MIRADA
04/16/2020,51.6,21,,,CITY OF LA PUENTE
04/16/2020,27.04,9,,,CITY OF LA VERNE
04/16/2020,57.24,46,,,CITY OF LAKEWOOD
04/16/2020,59.42,96,,,CITY OF LANCASTER
04/16/2020,95.2,32,,,CITY OF LAWNDALE
04/16/2020,115.78,24,,,CITY OF LOMITA
04/16/2020,123.53,89,,,CITY OF LYNWOOD
04/16/2020,131.16,17,,,CITY OF MALIBU
04/16/2020,158.34,57,,,CITY OF MANHATTAN BEACH
04/16/2020,114.09,32,,,CITY OF MAYWOOD
04/16/2020,36.08,14,,,CITY OF MONROVIA
04/16/2020,102.52,66,,,CITY OF MONTEBELLO
04/16/2020,56.21,35,,,CITY OF MONTEREY PARK
04/16/2020,83.63,90,,,CITY OF NORWALK
04/16/2020,77.37,123,,,CITY OF PALMDALE
04/16/2020,266.23,36,,,CITY OF PALOS VERDES ESTATES
04/16/2020,87.46,49,,,CITY OF PARAMOUNT
04/16/2020,113.56,73,,,CITY OF PICO RIVERA
04/16/2020,40.4,63,,,CITY OF POMONA
04/16/2020,107.61,46,,,CITY OF RANCHO PALOS VERDES
04/16/2020,122.28,84,,,CITY OF REDONDO BEACH
04/16/2020,--,--,,,CITY OF ROLLING HILLS
04/16/2020,135.58,11,,,CITY OF ROLLING HILLS ESTATES
04/16/2020,28.91,16,,,CITY OF ROSEMEAD
04/16/2020,52.15,18,,,CITY OF SAN DIMAS
04/16/2020,109.7,27,,,CITY OF SAN FERNANDO
04/16/2020,36.63,15,,,CITY OF SAN GABRIEL
04/16/2020,60.25,8,,,CITY OF SAN MARINO
04/16/2020,80.75,178,,,CITY OF SANTA CLARITA
04/16/2020,49.01,9,,,CITY OF SANTA FE SPRINGS
04/16/2020,108.17,100,,,CITY OF SANTA MONICA
04/16/2020,--,--,,,CITY OF SIERRA MADRE
04/16/2020,42.38,5,,,CITY OF SIGNAL HILL
04/16/2020,--,--,,,CITY OF SOUTH EL MONTE
04/16/2020,118.18,116,,,CITY OF SOUTH GATE
04/16/2020,76.77,20,,,CITY OF SOUTH PASADENA
04/16/2020,54.86,20,,,CITY OF TEMPLE CITY
04/16/2020,109.2,163,,,CITY OF TORRANCE
04/16/2020,0,0,,,CITY OF VERNON
04/16/2020,45.85,14,,,CITY OF WALNUT
04/16/2020,46.2,50,,,CITY OF WEST COVINA
04/16/2020,289.57,107,,,CITY OF WEST HOLLYWOOD
04/16/2020,71.77,6,,,CITY OF WESTLAKE VILLAGE
04/16/2020,67.48,59,,,CITY OF WHITTIER
04/16/2020,119.96,4852,,,LOS ANGELES
04/16/2020,195.07,16,,,LOS ANGELES - ADAMS-NORMANDIE
04/16/2020,56.25,7,,,LOS ANGELES - ALSACE
04/16/2020,--,--,,,LOS ANGELES - ANGELINO HEIGHTS
04/16/2020,101.83,35,,,LOS ANGELES - ARLETA
04/16/2020,61.37,9,,,LOS ANGELES - ATWATER VILLAGE
04/16/2020,115.66,36,,,LOS ANGELES - BALDWIN HILLS
04/16/2020,249.14,21,,,LOS ANGELES - BEL AIR
04/16/2020,207.58,26,,,LOS ANGELES - BEVERLY CREST
04/16/2020,167.01,22,,,LOS ANGELES - BEVERLYWOOD
04/16/2020,75.96,66,,,LOS ANGELES - BOYLE HEIGHTS
04/16/2020,187.37,58,,,LOS ANGELES - BRENTWOOD
04/16/2020,0,0,,,LOS ANGELES - BROOKSIDE
04/16/2020,98.3,7,,,LOS ANGELES - CADILLAC-CORNING
04/16/2020,140.91,92,,,LOS ANGELES - CANOGA PARK
04/16/2020,257.61,37,,,LOS ANGELES - CARTHAY
04/16/2020,130.8,51,,,LOS ANGELES - CENTRAL
04/16/2020,203.25,26,,,LOS ANGELES - CENTURY CITY
